areaId,lon,lat,X,Y,ad2,malabo,pop,prall_map,pre_map,prt_map,te_map,to_map,clusId,n,pf,pffv,pftto,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure
152,8.72028208177194,3.77262656733958,468941.2744,416999.623,Peri,non-Malabo,1,0.300000012,0.52700001,0.185000002,0.101000004,0.141000003,,2,0,0,0,0,0,0,0,0,0,0
153,8.72927530214895,3.77262656734786,469939.8521,416999.3074,Peri,non-Malabo,69,0.300000012,0.52700001,0.185000002,0.066,0.123000003,,28,3,1,0,5,0,0,0,0,0,0
207,8.6843092001105,3.76363334719711,464946.5958,416006.9094,Peri,non-Malabo,59,0.239999995,0.518999994,0.428000003,0.097999997,0.104000002,,25,6,1,1,3,0,0,4,1,0,0
209,8.70229564089642,3.76363334691647,466943.7773,416006.2076,Peri,non-Malabo,47,0.252999991,0.552999973,0.421000004,0.075999998,0.090000004,,5,1,0,0,0,0,0,0,0,0,0
211,8.72028208187457,3.76363334694125,468940.9555,416005.547,Peri,non-Malabo,245,0.245000005,0.49000001,0.414999992,0.088,0.101999998,1,83,31,8,3,17,0,0,2,0,0,0
212,8.72927530238957,3.76363334669592,469939.5435,416005.2321,Peri,non-Malabo,39,0.245000005,0.49000001,0.414999992,0.057,0.100000001,,21,1,0,0,1,0,0,0,0,0,0
218,8.78323462523751,3.76363334688417,475931.0565,416003.559,Peri,non-Malabo,691,0.071999997,0.179000005,0.127000004,0.152999997,0.216000006,,98,18,0,0,24,0,0,2,0,0,0
219,8.79222784573929,3.76363334698411,476929.6398,416003.3162,Peri,non-Malabo,3185,0.086999997,0.221000001,0.143999994,0.054000001,0.071999997,,705,73,8,3,76,14,2,9,4,2,1
220,8.80122106603654,3.76363334700526,477928.2225,416003.0837,Peri,non-Malabo,3384,0.114,0.243000001,0.179000005,0.075999998,0.107000001,,882,29,1,1,71,34,1,25,0,4,0
270,8.7202820818856,3.75464012640934,468940.6373,415011.4712,Peri,non-Malabo,43,0.153999999,0.282000005,0.219999999,0.066,0.079999998,,23,2,0,0,1,0,0,0,0,0,0
271,8.72927530203804,3.75464012654322,469939.2355,415011.1571,Peri,non-Malabo,47,0.112999998,0.282999992,0.144999996,0.108999997,0.196999997,,15,1,0,0,4,0,0,0,0,0,0
272,8.73826852272376,3.75464012654613,470937.8329,415010.8533,Malabo,Malabo,247,0.140000001,0.248999998,0.104999997,0.082999997,0.147,,28,4,0,0,7,0,0,0,0,0,0
273,8.74726174327124,3.75464012668961,471936.4297,415010.5597,Malabo,Malabo,302,0.173999995,0.287,0.319000006,0.186000004,0.219999999,,74,14,1,1,20,0,0,0,0,0,0
274,8.75625496390971,3.75464012661218,472935.0257,415010.2764,Malabo,Malabo,545,0.159999996,0.270999998,0.307999998,0.187000006,0.194000006,,68,8,0,0,10,0,0,1,0,0,0
275,8.76524818432794,3.75464012640454,473933.6211,415010.0033,Malabo,Malabo,841,0.136000007,0.214000002,0.282999992,0.178000003,0.186000004,33,129,14,3,1,29,0,0,0,0,0,0
276,8.77424140466491,3.7546401264289,474932.2158,415009.7405,Malabo,Malabo,3237,0.064000003,0.180999994,0.092,0.093999997,0.150000006,,807,49,5,4,121,13,2,8,2,3,0
277,8.78323462514976,3.75464012668564,475930.81,415009.488,Malabo,Malabo,11034,0.071999997,0.179000005,0.127000004,0.122000001,0.164000005,,2224,196,23,16,406,26,1,30,7,1,0
278,8.79222784547146,3.75464012654167,476929.4035,415009.2457,Malabo,Malabo,13054,0.086999997,0.221000001,0.143999994,0.116999999,0.157000005,41,2509,272,32,20,369,45,2,35,18,3,0
279,8.80122106621926,3.75464012635927,477927.9965,415009.0137,Malabo,Malabo,10886,0.114,0.243000001,0.179000005,0.056000002,0.059999999,,1906,153,17,8,207,40,5,36,13,5,0
280,8.81021428645151,3.7546401264099,478926.5888,415008.792,Baney,non-Malabo,308,0.160999998,0.224000007,0.125,0.273999989,0.238000005,26,43,9,1,1,3,0,0,1,0,0,0
281,8.81920750711784,3.75464012660354,479925.1808,415008.5805,Baney,non-Malabo,551,0.165999994,0.214000002,0.143999994,0.398999989,0.338,,147,28,2,1,22,0,1,1,0,0,0
282,8.82820072763698,3.7546401263975,480923.7722,415008.3793,Baney,non-Malabo,1568,0.192000002,0.270000011,0.266000003,0.246000007,0.241999999,,248,43,7,3,63,1,32,8,3,0,0
283,8.83719394814793,3.75464012615391,481922.3631,415008.1883,Baney,non-Malabo,53,0.209999993,0.333999991,0.395999998,0.209999993,0.202999994,,22,6,0,0,6,1,1,0,0,0,0
329,8.72028208198499,3.74564690611016,468940.3199,414017.3956,Peri,non-Malabo,316,0.229000002,0.324999988,0.200000003,0.081,0.143000007,2,112,27,1,0,15,0,0,0,0,0,0
330,8.72927530226525,3.74564690635173,469938.9283,414017.0823,Peri,non-Malabo,108,0.158999994,0.39199999,0.312999994,0.104999997,0.157000005,,19,1,0,0,1,0,0,0,0,1,0
331,8.73826852271899,3.74564690614058,470937.5359,414016.7791,Malabo,Malabo,484,0.210999995,0.286000013,0.250999987,0.125,0.177000001,,85,21,2,1,13,0,0,0,0,0,0
332,8.74726174330501,3.74564690601982,471936.1429,414016.4862,Malabo,Malabo,123,0.136999995,0.347000003,0.272000015,0.107000001,0.201000005,,36,5,0,0,6,0,0,0,0,0,0
333,8.75625496380214,3.74564690598973,472934.7491,414016.2036,Malabo,Malabo,1881,0.189999998,0.226999998,0.27700001,0.097999997,0.144999996,30,326,54,3,3,66,0,0,1,2,0,0
334,8.76524818425944,3.7456469058697,473933.3547,414015.9312,Malabo,Malabo,11234,0.148000002,0.273999989,0.280000001,0.175999999,0.192000002,37,1885,278,27,17,369,4,1,11,4,1,0
335,8.77424140463579,3.74564690593143,474931.9596,414015.669,Malabo,Malabo,19485,0.119999997,0.248999998,0.189999998,0.291000009,0.270000011,,2884,243,19,12,382,88,0,95,19,11,0
336,8.78323462507027,3.74564690617526,475930.564,414015.4171,Malabo,Malabo,17457,0.082999997,0.375,0.354999989,0.068000004,0.093999997,,2803,269,36,25,391,29,2,34,15,1,0
337,8.79222784570206,3.74564690614915,476929.1677,414015.1754,Malabo,Malabo,15012,0.144999996,0.286000013,0.240999997,0.126000002,0.143000007,39,1980,248,23,14,267,21,2,21,8,1,0
338,8.80122106640006,3.74564690585334,477927.7709,414014.9439,Baney,Malabo,6008,0.108000003,0.196999997,0.090000004,0.033,0.07,40,926,119,14,9,88,10,21,14,4,1,0
339,8.81021428667277,3.74564690592126,478926.3735,414014.7227,Baney,non-Malabo,3051,0.158999994,0.202000007,0.153999999,0.105999999,0.109999999,26,603,78,7,4,73,2,14,4,2,1,0
340,8.81920750710965,3.7456469060819,479924.9756,414014.5118,Baney,non-Malabo,313,0.123000003,0.225999996,0.25999999,0.143000007,0.122000001,,68,13,0,0,8,0,5,0,0,0,0
386,8.70229564070092,3.73665368564882,466942.7638,413023.9761,Peri,non-Malabo,572,0.266000003,0.416999996,0.418000013,0.162,0.216999993,3,149,35,2,2,27,0,0,2,0,0,0
387,8.71128886139902,3.73665368555752,467941.3839,413023.643,Peri,non-Malabo,204,0.393999994,0.321999997,0.326999992,0.129999995,0.135000005,3,57,18,2,2,18,0,0,0,0,1,0
390,8.73826852288259,3.73665368570024,470937.2397,413022.7052,Malabo,Malabo,142,0.101999998,0.230000004,0.150999993,0.135000005,0.208000004,,29,1,0,0,8,0,0,0,0,1,0
391,8.7472617435471,3.73665368549593,471935.8568,413022.413,Malabo,Malabo,1236,0.071999997,0.193000004,0.061999999,0.180999994,0.252000004,,236,18,2,1,60,1,0,0,0,0,0
392,8.75625496394286,3.73665368560341,472934.4732,413022.131,Malabo,Malabo,136,0.184,0.184,0.213,0.112000003,0.130999997,36,58,13,1,1,11,0,0,0,0,0,0
393,8.76524818429914,3.73665368548024,473933.089,413021.8593,Malabo,Malabo,6916,0.130999997,0.243000001,0.213,0.172000006,0.238000005,31,1275,193,16,8,263,4,2,24,3,2,0
394,8.77424140493501,3.73665368548869,474931.7041,413021.5977,Malabo,Malabo,13462,0.165000007,0.335999995,0.25,0.165000007,0.194999993,38,2142,286,41,29,369,31,1,25,18,5,0
395,8.78323462526908,3.7366536856289,475930.3186,413021.3464,Malabo,Malabo,15397,0.079999998,0.27700001,0.165000007,0.101999998,0.112000003,,2633,209,23,15,319,90,5,44,6,10,1
396,8.79222784562061,3.73665368553937,476928.9325,413021.1053,Malabo,Malabo,4531,0.082000002,0.268999994,0.319000006,0.109999999,0.108000003,,698,65,8,7,96,7,0,25,3,0,1
397,8.80122106612858,3.73665368549179,477927.5458,413020.8744,Malabo,Malabo,481,0.066,0.129999995,0.193000004,0.059,0.059,,227,21,4,4,30,5,3,3,0,0,0
398,8.81021428666188,3.73665368557686,478926.1587,413020.6537,Baney,Malabo,3320,0.064999998,0.120999999,0.112999998,0.165000007,0.214000002,,667,39,6,4,84,1,42,5,0,5,0
399,8.81920750708944,3.7366536855234,479924.7709,413020.4433,Baney,non-Malabo,574,0.104000002,0.217999995,0.257999986,0.217999995,0.213,,74,10,0,0,17,0,4,0,0,0,0
401,8.83719394791336,3.73665368536377,481921.994,413020.053,Baney,non-Malabo,70,0.043000001,0.175999999,0.143999994,0.035,0.048999999,,29,0,0,0,0,0,4,0,0,0,0
443,8.68430919977496,3.72766046474374,464945.1645,412030.5944,Peri,non-Malabo,25,0.238999993,0.305999994,0.363000005,0.066,0.050999999,,4,2,0,0,2,0,0,0,0,1,0
445,8.7022956407425,3.72766046510152,466942.4275,412029.8993,Peri,non-Malabo,95,0.296000004,0.307999998,0.30399999,0.093999997,0.172999993,8,73,27,6,3,2,0,0,0,0,0,0
447,8.72028208199863,3.72766046496095,468939.6874,412029.245,Peri,non-Malabo,301,0.178000003,0.300000012,0.222000003,0.086999997,0.082999997,6,115,20,5,0,12,0,0,0,0,1,0
448,8.72927530247458,3.72766046487424,469938.3161,412028.9331,Peri,non-Malabo,34,0.164000005,0.266000003,0.151999995,0.094999999,0.092,,3,0,0,0,0,0,0,0,0,0,0
449,8.7382685230344,3.72766046513899,470936.9441,412028.6315,Malabo,Malabo,93,0.141000003,0.280000001,0.158000007,0.090999998,0.123000003,,47,9,2,1,4,2,0,0,0,0,0
450,8.74726174354715,3.72766046512222,471935.5714,412028.34,Malabo,Malabo,2729,0.086999997,0.275999993,0.157000005,0.045000002,0.052000001,,331,29,3,2,16,30,0,19,1,6,0
451,8.75625496388165,3.72766046500515,472934.1979,412028.0587,Malabo,Malabo,3833,0.093000002,0.158000007,0.123999998,0.074000001,0.083999999,,599,57,4,3,67,6,1,25,3,3,0
452,8.76524818426682,3.72766046542146,473932.8238,412027.7876,Malabo,Malabo,4216,0.097000003,0.189999998,0.217999995,0.103,0.136000007,,745,63,8,2,90,20,0,32,2,3,0
453,8.77424140484203,3.72766046519537,474931.4491,412027.5267,Malabo,Malabo,2600,0.090000004,0.157000005,0.122000001,0.128000006,0.194999993,,527,38,3,2,109,3,0,6,1,3,0
454,8.78323462538593,3.72766046496042,475930.0738,412027.2759,Malabo,Malabo,3624,0.105999999,0.239999995,0.223000005,0.101999998,0.167999998,34,735,121,10,5,115,1,0,5,7,0,0
455,8.79222784558721,3.72766046498821,476928.6978,412027.0354,Malabo,Malabo,508,0.082999997,0.25999999,0.261999995,0.061000001,0.085000001,,87,10,0,0,4,5,0,2,1,0,0
457,8.81021428650888,3.72766046520018,478925.9443,412026.5849,Baney,non-Malabo,885,0.123000003,0.144999996,0.143000007,0.059999999,0.068999998,35,155,24,1,1,6,1,23,0,1,1,0
458,8.81920750696712,3.72766046502292,479924.5667,412026.375,Baney,non-Malabo,280,0.064000003,0.115000002,0.147,0.054000001,0.089000002,,27,3,0,0,8,0,9,0,0,0,0
459,8.8282007278191,3.72766046483817,480923.1887,412026.1752,Baney,non-Malabo,615,0.022,0.088,0.153999999,0.027000001,0.033,,313,5,1,1,4,1,13,3,1,1,0
460,8.83719394821323,3.72766046482693,481921.8102,412025.9856,Baney,non-Malabo,2731,0.017000001,0.105999999,0.094999999,0.025,0.032000002,,1025,10,1,1,27,3,162,25,9,0,1
502,8.6843091998719,3.71866724433014,464944.8089,411036.5162,Peri,non-Malabo,2028,0.175999999,0.275999993,0.191,0.028000001,0.037999999,7,671,129,10,7,31,6,3,11,3,1,0
503,8.69330242056797,3.71866724450611,465943.4509,411036.1644,Peri,non-Malabo,63,0.335999995,0.284999996,0.148000002,0.068999998,0.077,,20,8,0,0,1,0,0,0,0,0,0
504,8.70229564115249,3.71866724461991,466942.0922,411035.8228,Peri,non-Malabo,225,0.250999987,0.238000005,0.234999999,0.112000003,0.135000005,8,94,27,3,1,13,0,1,1,1,0,0
505,8.7112888614043,3.71866724458139,467940.7326,411035.4913,Peri,non-Malabo,187,0.247999996,0.247999996,0.319000006,0.105999999,0.101000004,11,72,19,0,0,9,0,3,0,0,0,0
506,8.72028163333961,3.71866670587194,468939.3224,411035.1105,Peri,non-Malabo,295,0.123000003,0.170000002,0.164000005,0.071999997,0.101999998,,94,7,1,1,10,0,0,0,0,0,0
507,8.72927530236629,3.71866724441122,469938.0111,411034.8589,Peri,non-Malabo,75,0.112999998,0.192000002,0.100000001,0.071000002,0.096000001,,9,2,0,0,1,0,0,0,0,0,0
508,8.7382685230843,3.71866724446122,470936.6492,411034.5579,Malabo,Malabo,486,0.128000006,0.187000006,0.100000001,0.041000001,0.100000001,27,75,9,1,0,8,0,0,0,1,0,0
509,8.74726174339527,3.71866724454124,471935.2866,411034.2672,Malabo,Malabo,2573,0.138999999,0.307999998,0.187999994,0.035999998,0.061000001,28,342,36,4,2,22,7,0,1,1,3,0
510,8.75625496406861,3.71866724465184,472933.9233,411033.9866,Malabo,Malabo,1065,0.085000001,0.270000011,0.163000003,0.061999999,0.097000003,,163,15,0,0,11,3,2,3,0,0,0
511,8.76524818425273,3.71866724479308,473932.5594,411033.7161,Malabo,Malabo,2095,0.122000001,0.263000011,0.231000006,0.167999998,0.197999999,32,308,43,4,2,55,1,0,3,2,1,0
512,8.77424140462707,3.71866724469408,474931.1948,411033.4558,Malabo,Malabo,1051,0.108999997,0.206,0.127000004,0.133000001,0.165000007,,196,44,9,4,30,0,0,1,2,1,0
513,8.78323462515047,3.71866724471696,475929.8296,411033.2057,Malabo,Malabo,292,0.165999994,0.217999995,0.100000001,0.209000006,0.314999998,,84,8,1,1,14,2,0,3,0,1,1
514,8.7922278456918,3.71866724477151,476928.4638,411032.9657,Malabo,Malabo,1165,0.123999998,0.230000004,0.180000007,0.189999998,0.218999997,,245,59,5,3,74,2,1,7,4,1,0
519,8.83719394831076,3.71866724462354,481921.6268,411031.9184,Baney,non-Malabo,732,0.01,0.093000002,0.063000001,0.017999999,0.025,,314,2,0,0,3,6,22,13,4,0,0
560,8.67531597938457,3.70967402420532,463945.801,410042.7993,Peri,non-Malabo,61,0.31099999,0.175999999,0.236000001,0.092,0.079999998,,10,4,1,1,1,0,0,0,0,0,0
564,8.71128886129911,3.70967402401465,467940.4081,410041.4158,Peri,non-Malabo,294,0.321999997,0.323000014,0.435000002,0.130999997,0.152999997,11,142,51,9,6,20,0,4,4,1,0,0
571,8.77424140465023,3.70967402426071,474930.941,410039.3851,Peri,non-Malabo,603,0.246000007,0.314999998,0.164000005,0.107000001,0.129999995,29,140,37,4,3,13,0,0,1,1,0,1
573,8.79222784557422,3.70967402444126,476928.2302,410038.8963,Malabo,NA,17,0.134000003,0.314999998,0.173999995,0.136999995,0.140000001,,0,,,,0,0,0,0,0,0,0
574,8.80122106584242,3.70967402423253,477926.874,410038.667,Peri,non-Malabo,80,0.066,0.239999995,0.101000004,0.101000004,0.093000002,,3,0,0,0,0,0,0,0,0,0,0
582,8.87316682997872,3.70967402401429,485916.0065,410037.1982,Baney,non-Malabo,195,0.107000001,0.125,0.130999997,0.027000001,0.033,12,71,10,0,0,0,0,1,0,0,0,0
586,8.90913971195315,3.70967402400352,489910.5636,410036.7072,Baney,non-Malabo,61,0.034000002,0.162,0.07,0.039999999,0.044,,19,0,0,0,1,0,3,2,1,0,0
587,8.91813293241782,3.70967402393833,490909.2022,410036.6098,Baney,non-Malabo,9,0.068000004,0.165000007,0.130999997,0.057999998,0.059,,1,0,0,0,0,0,0,0,0,0,0
617,8.65732953864121,3.70068080389726,461948.1081,409049.4714,Peri,non-Malabo,10,0.222000003,0.26699999,0.257999986,0.079999998,0.083999999,,1,0,0,0,0,0,0,0,0,0,0
618,8.66632275931548,3.70068080382061,462946.773,409049.0909,Peri,non-Malabo,63,0.272000015,0.217999995,0.214000002,0.074000001,0.082000002,,8,3,1,1,1,0,0,0,0,0,0
630,8.77424140473135,3.70068080380916,474930.6879,409045.3147,Peri,non-Malabo,29,0.280999988,0.256999999,0.175999999,0.082999997,0.081,,5,2,1,0,3,0,0,0,1,0,0
633,8.80122106610304,3.70068080385978,477926.6511,409044.5983,Peri,non-Malabo,67,0.050999999,0.35800001,0.082000002,0.035,0.039000001,,2,0,0,0,0,0,0,0,0,0,0
634,8.81021428645765,3.7006808038303,478925.3044,409044.3797,Peri,non-Malabo,175,0.046999998,0.294,0.072999999,0.044,0.052000001,,37,1,0,0,0,1,1,2,0,0,0
644,8.90014649150703,3.70068080335978,488911.8128,409042.7505,Baney,non-Malabo,32,0.024,0.083999999,0.052000001,0.026000001,0.027000001,,3,0,0,0,0,0,1,0,0,0,0
645,8.90913971178048,3.70068080367909,489910.4617,409042.6432,Baney,non-Malabo,3228,0.013,0.100000001,0.045000002,0.024,0.035,,931,12,2,2,26,11,134,23,5,1,1
646,8.9181329323076,3.70068080366099,490909.1104,409042.5461,Baney,non-Malabo,67,0.039000001,0.155000001,0.086000003,0.050999999,0.044,,20,0,0,0,1,0,1,1,1,0,0
676,8.65732953868632,3.69168758321097,461947.7248,408055.391,Peri,non-Malabo,38,0.250999987,0.228,0.301999986,0.048999999,0.050999999,13,4,0,0,0,0,0,1,0,0,0,0
677,8.66632275909534,3.69168758332012,462946.3998,408055.0115,Peri,non-Malabo,35,0.224000007,0.171000004,0.280000001,0.054000001,0.056000002,13,1,0,0,0,0,0,0,0,0,0,0
