areaId,lon,lat,X,Y,ad2,malabo,pop,prall_map,pre_map,prt_map,te_map,to_map,clusId,n,pf,pffv,pftto,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure
693,8.81021428654632,3.69168758327827,478925.0921,408050.3117,Malabo,NA,5,0.035,0.270000011,0.064000003,0.050000001,0.050000001,,0,,,,0,0,0,0,0,0,0
704,8.90913971190556,3.6916875831576,489910.3601,408048.5794,Baney,non-Malabo,9,0.017999999,0.123000003,0.048999999,0.037999999,0.041999999,,4,0,0,0,0,0,0,1,0,0,0
734,8.64833631786947,3.68269436277377,460948.6565,407061.6996,Peri,non-Malabo,37,0.270000011,0.234999999,0.277999997,0.028999999,0.032000002,15,38,15,4,1,2,1,0,2,0,0,1
735,8.65732953835904,3.68269436288071,461947.3424,407061.3109,Peri,non-Malabo,165,0.326000005,0.147,0.30399999,0.041000001,0.041999999,13,44,14,0,0,1,0,0,0,0,0,0
736,8.66632275908334,3.68269436263274,462946.0275,407060.9323,Peri,non-Malabo,25,0.266000003,0.150000006,0.221000001,0.039000001,0.054000001,13,1,0,0,0,0,0,0,1,0,0,0
764,8.91813293237995,3.68269436279061,490908.9275,407054.4191,Baney,non-Malabo,86,0.057,0.185000002,0.094999999,0.054000001,0.059999999,,20,0,0,0,1,0,4,0,0,0,0
792,8.63934309777777,3.67370114245431,459949.5682,406068.0166,Peri,non-Malabo,247,0.136999995,0.178000003,0.158000007,0.028999999,0.041000001,14,187,31,8,7,3,17,9,1,0,0,0
793,8.64833631807578,3.67370114256888,460948.2651,406067.6188,Peri,non-Malabo,141,0.172999993,0.130999997,0.241999999,0.035999998,0.052999999,15,83,24,5,1,2,0,1,0,0,0,0
794,8.65732953846993,3.67370114245884,461946.961,406067.231,Peri,non-Malabo,26,0.195999995,0.141000003,0.294999987,0.050999999,0.057,15,7,1,0,0,0,0,1,0,0,0,0
851,8.63934309780779,3.66470792196758,459949.1677,405073.9349,Peri,non-Malabo,17,0.162,0.171000004,0.180999994,0.048999999,0.055,,12,1,0,0,1,0,0,3,0,0,0
882,8.91813293227219,3.66470792161913,490908.7455,405066.293,Baney,non-Malabo,198,0.050000001,0.181999996,0.092,0.018999999,0.024,,61,3,2,1,0,0,5,0,0,0,0
910,8.6393430975654,3.65571470139846,459948.7682,404079.8535,Peri,non-Malabo,52,0.223000005,0.201000005,0.248999998,0.059,0.056000002,16,15,1,0,0,0,0,2,0,0,0,0
941,8.91813293231952,3.65571470139517,490908.6548,404072.2302,Baney,non-Malabo,254,0.041999999,0.192000002,0.097000003,0.024,0.027000001,,93,2,1,0,1,0,19,0,0,0,0
969,8.63934309741062,3.64672148102289,459948.3697,403085.7723,Peri,non-Malabo,51,0.246000007,0.167999998,0.206,0.039999999,0.052000001,16,36,18,2,2,1,0,7,0,0,0,0
970,8.64833631793117,3.6467214809065,460947.0965,403085.3774,Peri,non-Malabo,35,0.187999994,0.238999993,0.324000001,0.075999998,0.057,16,28,10,0,0,6,0,2,0,0,0,0
1000,8.9181329325244,3.64672148099611,490908.5644,403078.1677,Baney,non-Malabo,140,0.050000001,0.187000006,0.093999997,0.028999999,0.035,,56,2,0,0,2,0,14,0,2,0,0
1027,8.63034987716795,3.63772826052338,458949.2345,402092.0951,Peri,non-Malabo,70,0.279000014,0.149000004,0.135000005,0.041000001,0.048,17,45,19,1,0,2,1,0,0,1,0,0
1028,8.63934309761375,3.6377282602121,459947.9722,402091.6912,Peri,non-Malabo,426,0.108999997,0.134000003,0.133000001,0.030999999,0.039999999,17,278,12,4,2,8,8,6,6,2,0,0
1058,8.90913971188303,3.63772826038865,489909.7555,402084.2008,Baney,non-Malabo,168,0.046999998,0.158000007,0.059999999,0.035999998,0.041000001,,60,2,1,0,2,0,8,1,0,0,0
1116,8.90014649106884,3.62873503950701,488910.9269,401090.2436,Baney,non-Malabo,233,0.067000002,0.140000001,0.052999999,0.046,0.048999999,,56,2,0,0,2,0,18,0,3,0,0
1175,8.9001464911714,3.61974181919006,488910.8174,400096.1811,Baney,non-Malabo,403,0.071999997,0.157000005,0.064999998,0.045000002,0.048,,186,16,0,0,9,15,21,0,1,0,0
1291,8.88216005029177,3.60175537871542,486913.0819,398108.2952,Baney,NA,3,0.055,0.256999999,0.028999999,0.024,0.054000001,,0,,,,0,0,0,0,0,0,0
1292,8.89115327082666,3.60175537843966,487911.8407,398108.1711,Baney,non-Malabo,330,0.050000001,0.162,0.037,0.016000001,0.037999999,,134,5,0,0,5,0,41,2,0,0,0
1320,8.61236343598366,3.59276215816131,456949.6356,397122.5153,Luba,non-Malabo,25,0.280000001,0.193,0.133000001,0.046999998,0.061999999,,3,2,0,0,0,0,0,0,0,0,0
1321,8.62135665631207,3.59276215797478,457948.4245,397122.0967,Luba,non-Malabo,246,0.193000004,0.244000003,0.090000004,0.046,0.054000001,18,124,20,5,4,6,3,39,0,1,1,0
1407,8.86417360953018,3.58376893756491,484915.268,396120.4468,Baney,non-Malabo,244,0.044,0.165000007,0.032000002,0.027000001,0.050000001,,105,2,1,1,3,0,22,0,1,1,0
1408,8.87316682994039,3.58376893767114,485914.047,396120.3037,Baney,non-Malabo,66,0.041999999,0.197999999,0.037999999,0.024,0.041999999,,10,1,0,0,0,0,6,0,0,0,0
1438,8.61236343603354,3.57477571721665,456948.7948,395134.3497,Luba,non-Malabo,128,0.202000007,0.206,0.086000003,0.033,0.048999999,19,66,23,1,0,2,0,19,0,0,0,0
1439,8.62135665664774,3.57477571726117,457947.6032,395133.9332,Luba,non-Malabo,25,0.170000002,0.356000006,0.103,0.032000002,0.050000001,,10,1,0,0,0,0,1,0,0,0,0
1465,8.85518038885125,3.57477571716355,483916.3317,395126.5366,Baney,non-Malabo,22,0.072999999,0.204999998,0.063000001,0.029999999,0.035999998,,15,2,1,0,0,0,5,0,0,0,0
1497,8.61236343605375,3.56578249673151,456948.376,394140.2672,Luba,NA,11,0.252000004,0.349000007,0.232999995,0.035999998,0.054000001,,0,,,,0,0,0,0,0,0,0
1498,8.62135665660084,3.56578249675522,457947.1941,394139.8517,Luba,NA,6,0.197999999,0.338999987,0.131999999,0.037999999,0.050999999,,0,,,,0,0,0,0,0,0,0
1524,8.85518038898895,3.56578249672878,483916.1752,394132.4736,Baney,non-Malabo,144,0.059999999,0.197999999,0.07,0.028000001,0.030999999,,69,2,0,0,1,1,19,0,0,0,0
1556,8.61236343631075,3.55678927630411,456947.9582,393146.1849,Luba,non-Malabo,6,0.268999994,0.330000013,0.219999999,0.046,0.048,,3,1,0,0,0,0,0,0,0,0,0
1557,8.62135665674079,3.55678927621614,457946.7861,393145.7705,Luba,non-Malabo,1,0.193000004,0.379999995,0.152999997,0.046999998,0.050000001,,2,1,0,0,0,0,1,0,0,0,0
1583,8.85518038927395,3.55678927607335,483916.0192,393138.4109,Baney,non-Malabo,36,0.082999997,0.180000007,0.068000004,0.035999998,0.039999999,,15,2,0,0,0,0,2,0,0,0,0
1673,8.60337021550588,3.53880283524528,455948.2776,391158.4427,Luba,non-Malabo,129,0.187000006,0.27700001,0.224000007,0.086999997,0.072999999,20,90,29,5,0,4,0,20,0,0,0,0
1729,8.57639055410814,3.52980961469845,452951.2732,390165.6805,Luba,non-Malabo,100,0.202999994,0.342000008,0.233999997,0.026000001,0.033,21,33,7,0,0,0,0,5,1,0,0,0
1757,8.82820072766189,3.52980961465296,480919.0384,390156.7335,Riaba,non-Malabo,137,0.021,0.180999994,0.093000002,0.035,0.041000001,,210,1,0,0,7,6,36,4,2,0,0
1759,8.84618716876659,3.52980961451541,482916.7155,390156.384,Baney,non-Malabo,38,0.143000007,0.239999995,0.079000004,0.043000001,0.064999998,,37,5,5,2,2,0,11,0,0,0,0
1790,8.59437699505642,3.52081639418591,454948.5617,389170.7068,Luba,non-Malabo,6,0.112000003,0.256000012,0.259000003,0.075999998,0.072999999,,6,0,0,0,1,0,4,0,0,0,0
1815,8.81920750712367,3.52081639424827,479920.0063,389162.859,Riaba,non-Malabo,123,0.043000001,0.171000004,0.180000007,0.056000002,0.066,,204,8,0,0,14,8,38,7,4,0,0
1847,8.5763905541849,3.51182317383533,452950.3705,388177.5088,Luba,NA,2,0.179000005,0.234,0.182999998,0.054000001,0.052999999,,0,,,,0,0,0,0,0,0,0
1990,8.8012210661808,3.49383673280921,477921.6743,386181.0721,Riaba,non-Malabo,117,0.059999999,0.225999996,0.187000006,0.039999999,0.054000001,,151,6,1,0,6,2,60,6,0,0,0
2028,8.6123634361678,3.48484351222956,456944.654,385193.5332,Luba,non-Malabo,28,0.197999999,0.448000014,0.294999987,0.101000004,0.109999999,,70,15,2,0,10,0,19,0,0,0,0
2083,8.57639055425999,3.47585029208518,452948.5788,384201.1677,Luba,non-Malabo,302,0.280999988,0.305999994,0.158999994,0.033,0.037,22,116,38,8,4,4,0,10,0,0,0,0
2087,8.61236343621122,3.47585029206629,456944.2457,384199.4526,Luba,non-Malabo,16,0.172000006,0.338999987,0.375,0.072999999,0.077,,32,5,0,0,1,0,10,0,0,0,0
2132,8.48645834922816,3.46685707144904,442958.7876,383212.0231,Luba,non-Malabo,119,0.153999999,0.377999991,0.261999995,0.079000004,0.088,23,155,22,0,0,16,0,53,0,1,0,0
2140,8.5584041131557,3.46685707156947,450950.2746,383207.995,Luba,NA,2,0.068999998,0.312999994,0.166999996,0.015,0.026000001,,0,,,,0,0,0,0,0,0,0
2141,8.56739733353897,3.46685707174348,451949.2048,383207.5342,Luba,non-Malabo,301,0.104999997,0.293000013,0.143000007,0.048,0.050000001,24,48,8,0,0,3,0,7,0,1,1,0
2143,8.58538377461891,3.46685707157024,453947.0616,383206.641,Luba,non-Malabo,3,0.259000003,0.214000002,0.165999994,0.059999999,0.054000001,,9,1,0,0,0,0,2,0,0,0,0
2144,8.59437699514251,3.46685707176672,454945.9884,383206.2086,Luba,non-Malabo,101,0.195999995,0.238999993,0.209999993,0.028999999,0.029999999,25,99,22,2,1,1,0,16,0,0,0,0
2152,8.66632275888079,3.46685707151008,462937.3641,383203.0908,Luba,non-Malabo,276,0.048,0.186000004,0.125,0.021,0.029999999,,205,6,1,0,2,2,62,0,0,0,0
2198,8.54941089272647,3.45786385118863,449950.8711,382214.3772,Luba,non-Malabo,848,0.180000007,0.291000009,0.097000003,0.054000001,0.057999998,4,338,38,7,4,21,3,104,0,1,1,0
2199,8.55840411309026,3.45786385125849,450949.8119,382213.9081,Luba,non-Malabo,1050,0.068999998,0.312999994,0.166999996,0.015,0.026000001,4,294,39,6,4,11,2,55,6,0,0,0
2206,8.62135665663079,3.45786385107089,457942.3652,382210.8891,Luba,non-Malabo,67,0.092,0.213,0.149000004,0.025,0.030999999,,82,6,1,1,1,0,30,0,0,0,0
2224,8.78323462509862,3.45786385106039,475923.0036,382205.2541,Riaba,non-Malabo,44,0.075000003,0.189999998,0.141000003,0.07,0.086000003,,74,3,1,0,9,1,27,2,0,0,0
2225,8.79222784562409,3.45786385098394,476921.9211,382205.0309,Riaba,non-Malabo,27,0.115999997,0.229000002,0.141000003,0.064999998,0.07,,30,2,0,0,2,0,7,0,0,0,0
2246,8.45048546742303,3.44887063068322,438961.8611,381226.0586,Luba,non-Malabo,51,0.219999999,0.423999995,0.256999999,0.026000001,0.030999999,,68,12,0,0,0,0,19,6,0,0,0
2252,8.50444479028445,3.44887063062342,444955.6301,381222.7701,Luba,non-Malabo,602,0.021,0.143000007,0.078000002,0.032000002,0.037,,569,10,0,0,21,5,171,2,0,1,0
2258,8.55840411329033,3.44887063078895,450949.3504,381219.8213,Luba,non-Malabo,336,0.068000004,0.270999998,0.093999997,0.027000001,0.035,,139,9,0,0,5,1,44,0,0,0,0
2306,8.45947868802221,3.43987741015771,439960.2628,380231.3856,Luba,non-Malabo,45,0.201000005,0.356000006,0.43900001,0.120999999,0.131999999,,81,17,2,0,12,0,42,0,0,0,0
2324,8.62135665625514,3.43987740981516,457941.5747,380222.7313,Luba,non-Malabo,276,0.093000002,0.368999988,0.203999996,0.035,0.035,,264,26,7,7,10,6,110,3,1,0,0
2325,8.63034987687838,3.43987740970133,458940.5253,380222.3399,Luba,non-Malabo,108,0.057,0.219999999,0.125,0.014,0.02,,122,5,2,1,1,0,30,1,0,0,0
2384,8.63034987700803,3.4308841891735,458940.141,379228.2623,Luba,non-Malabo,6,0.045000002,0.170000002,0.075999998,0.02,0.02,,2,0,0,0,0,0,0,0,0,0,0
2385,8.6393430974554,3.43088418921616,459939.1,379227.8813,Luba,non-Malabo,8,0.056000002,0.194000006,0.097999997,0.02,0.023,,6,0,0,0,0,0,0,0,0,0,0
2400,8.77424140477475,3.43088418945907,474923.3797,379223.2923,Riaba,non-Malabo,62,0.172999993,0.123999998,0.215000004,0.039999999,0.048999999,,23,5,0,0,1,0,3,5,0,0,0
2437,8.57639055416543,3.42189096920367,452945.926,378236.6615,Luba,non-Malabo,28,0.025,0.300000012,0.072999999,0.028999999,0.030999999,,3,0,0,0,0,0,2,0,0,0,0
2444,8.63934309757507,3.42189096877527,459938.726,378233.8049,Luba,non-Malabo,36,0.057,0.157000005,0.075999998,0.026000001,0.034000002,,84,5,0,0,0,0,30,0,0,0,0
2445,8.64833631811608,3.42189096914617,460937.6933,378233.4343,Luba,non-Malabo,59,0.133000001,0.162,0.103,0.079000004,0.085000001,,20,4,0,0,3,0,8,0,0,0,0
2453,8.72028208185693,3.4218909691669,468929.3991,378230.806,Riaba,non-Malabo,80,0.077,0.211999997,0.112000003,0.044,0.068000004,9,42,1,0,0,2,5,12,1,0,0,0
2456,8.74726174342159,3.42189096914508,471926.2755,378229.9748,Riaba,NA,5,0.128999993,0.354999989,0.234999999,0.083999999,0.104000002,,0,,,,0,0,0,0,0,0,0
2457,8.7562549636927,3.42189096921081,472925.2328,378229.7165,Riaba,non-Malabo,180,0.108000003,0.194999993,0.149000004,0.072999999,0.085000001,5,93,10,1,1,6,1,37,1,0,0,0
2458,8.76524818438476,3.42189096919304,473924.1895,378229.4675,Riaba,non-Malabo,70,0.119999997,0.143999994,0.163000003,0.037,0.048,5,12,3,0,0,1,3,1,0,0,0,0
2493,8.54941089255705,3.41289774871057,449948.5287,377243.939,Luba,non-Malabo,375,0.023,0.142000005,0.029999999,0.052999999,0.059999999,,84,1,0,0,6,0,35,1,1,0,0
2495,8.56739733370937,3.41289774886474,451946.5027,377243.0222,Luba,non-Malabo,224,0.016000001,0.200000003,0.066,0.022,0.023,,31,0,0,0,0,0,11,0,0,0,0
2496,8.57639055430806,3.41289774881934,452945.4879,377242.5779,Luba,non-Malabo,482,0.013,0.230000004,0.054000001,0.018999999,0.025,,83,0,0,0,1,0,12,1,0,0,0
2512,8.72028208167052,3.41289774890363,468929.1098,377236.7376,Riaba,non-Malabo,104,0.151999995,0.180000007,0.115000002,0.043000001,0.061999999,9,56,10,1,1,3,0,10,0,0,0,0
2514,8.73826852295318,3.41289774851602,470927.0467,377236.1756,Riaba,non-Malabo,40,0.247999996,0.263000011,0.252999991,0.240999997,0.224999994,,17,8,0,0,8,0,6,0,0,0,0
2515,8.747261743291,3.41289774848267,471926.0141,377235.9086,Riaba,non-Malabo,66,0.142000005,0.273999989,0.217999995,0.135000005,0.203999996,,32,3,0,0,5,0,6,0,0,0,0
2570,8.71128886140058,3.4039045280708,467929.8424,376242.9636,Riaba,non-Malabo,24,0.104000002,0.199000001,0.063000001,0.055,0.072999999,,6,0,0,0,1,0,2,0,0,0,0
2572,8.72927530223718,3.40390452801632,469927.7994,376242.3845,Riaba,non-Malabo,58,0.137999997,0.246000007,0.196999997,0.041000001,0.050000001,,32,1,0,0,0,0,6,1,0,0,0
2573,8.7382685229098,3.40390452789341,470926.7767,376242.1089,Riaba,non-Malabo,301,0.126000002,0.272000015,0.223000005,0.052000001,0.066,,159,25,3,3,8,2,34,0,1,0,0
2574,8.74726174327656,3.40390452776732,471925.7534,376241.8426,Riaba,non-Malabo,29,0.123999998,0.240999997,0.224999994,0.097000003,0.101000004,,3,1,0,0,0,0,0,0,0,0,0
2629,8.71128886131809,3.39491130756029,467929.5454,375248.8948,Riaba,non-Malabo,10,0.093999997,0.192000002,0.072999999,0.052000001,0.061999999,,1,0,0,0,0,0,0,0,0,0,0
2632,8.73826852276233,3.39491130749385,470926.5075,375248.0423,Riaba,non-Malabo,15,0.178000003,0.222000003,0.237000003,0.033,0.043000001,,4,0,0,0,0,0,1,0,0,0,0
2635,8.76524818424744,3.39491130722174,473923.4631,375247.2734,Riaba,non-Malabo,35,0.155000001,0.200000003,0.261000007,0.046,0.052999999,10,13,1,0,0,0,0,5,0,0,0,0
2693,8.75625496379379,3.38591808704708,472924.2285,374253.4555,Riaba,non-Malabo,109,0.208000004,0.25,0.156000003,0.056000002,0.054000001,10,48,10,1,1,3,0,8,0,0,0,0
2694,8.76524818414377,3.38591808725362,473923.2222,374253.2091,Riaba,non-Malabo,355,0.170000002,0.224999994,0.145999998,0.093000002,0.093999997,10,160,25,4,2,23,1,33,3,0,0,0
2859,8.65732953851836,3.35893842576965,461934.1984,371274.5566,Moka,non-Malabo,2,0.022,0.246999994,0.143999994,0.032000002,0.037999999,,6,0,0,0,0,0,1,0,0,0,0
2860,8.66632275889542,3.35893842565178,462933.2284,371274.2111,Moka,NA,4,0.017999999,0.197999999,0.123999998,0.029999999,0.041000001,,0,,,,0,0,0,0,0,0,0
2871,8.76524818419936,3.35893842594977,473922.5034,371271.0172,Riaba,non-Malabo,36,0.275000006,0.316000015,0.191,0.092,0.088,,6,3,0,0,2,0,4,0,0,0,0
2918,8.65732953841134,3.34994520542652,461933.8505,370280.4836,Moka,non-Malabo,398,0.028999999,0.209999993,0.098999999,0.034000002,0.041000001,,402,5,0,0,12,0,129,8,0,0,0
2919,8.6663227590547,3.34994520521102,462932.8897,370280.139,Moka,non-Malabo,218,0.024,0.127000004,0.111000001,0.030999999,0.029999999,,255,3,1,0,10,0,65,8,1,0,0
2978,8.66632275878899,3.34095198493135,462932.5518,369286.0671,Moka,non-Malabo,58,0.061999999,0.170000002,0.165999994,0.085000001,0.075000003,,47,5,1,1,6,0,24,2,0,0,0
2985,8.72927530255645,3.3409519849395,469925.8652,369283.9175,Riaba,non-Malabo,106,0.119000003,0.508000016,0.270999998,0.071999997,0.07,,82,12,0,0,10,0,17,0,1,0,0
3104,8.73826852296257,3.32296554408247,470924.379,367295.5167,Riaba,non-Malabo,53,0.090999998,0.433999985,0.057,0.030999999,0.037,,15,1,1,1,1,0,7,0,0,0,0
3105,8.74726174341221,3.32296554392535,471923.438,367295.2567,Riaba,non-Malabo,1,0.104000002,0.405999988,0.085000001,0.028000001,0.034000002,,1,0,0,0,0,0,0,0,0,0,0
3559,8.58538377458956,3.25101978015591,453936.946,359348.688,Ureka,non-Malabo,64,0.150999993,0.256999999,0.096000001,0.028999999,0.028999999,,18,3,0,0,0,0,3,2,0,0,0
